LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Leucémie aiguë myéloïde, SAI (type FAB ou OMS  non précisé) (voir aussi M-9930/3)|M-9861/3|98613||H7J0|LEUCEMIE AIGUE MYELOIDE AVEC TRANSLOCATIONS CYTOGENETIQUES RECURRENTES (SAI)|
Leucémie myéloïde aiguë, t(8;21)(q22;q22)|M-9896/3|98963||H7J1|LEUCEMIE AIGUE MYELOIDE AVEC t(8;21)(q22;q22), AMLK1(CBFalpha)/ETO|
Leucémie myéloïde aiguë avec éosinophiles médullaires anormaux|M-9871/3|98713||H7J2|LEUCEMIE AIGUE MYELOIDE AVEC EOSINOPHILES MEDULLAIRES ANORMAUX [inv(16)(p13;q22) OU t(16;16)(p13;q11)]|
Leucémie promyélocytaire aiguë, t(15;17)(q22;q11-12)|M-9866/3|98663||H7J3|LEUCEMIE AIGUE PROMYELOCYTAIRE [t(15;17)(q22;q11-12)], PML, RARalpha ET VARIANTES|
Leucémie myéloïde aiguë, anomalies 11q23|M-9897/3|98973||H7J4|LEUCEMIE AIGUE MYELOIDE AVEC ANOMALIES 11q23|
Leucémie myéloïde aiguë avec dysplasie de plusieurs lignées cellulaires|M-9895/3|98953||H7K0|LEUCEMIE AIGUE MYELOIDE AVEC DYSPLASIE MULTI LIGNEE (SAI)|
Leucémie myéloïde aiguë avec dysplasie de plusieurs lignées cellulaires|M-9895/3|98953|G|H7K1|LEUCEMIE AIGUE MYELOIDE AVEC DYSPLASIE MULTI LIGNEE SUR SYNDROME MYELODYSPLASIQUE ANTERIEUR|
Leucémie myéloïde aiguë avec dysplasie de plusieurs lignées cellulaires|M-9895/3|98953|G|H7K2|LEUCEMIE AIGUE MYELOIDE AVEC DYSPLASIE MULTI LIGNEE SANS SYNDROME MYELODYSPLASIQUE ANTERIEUR|
Syndrome myélodysplasique secondaire à une thérapie, SAI|M-9987/3|99873||H7K5|LEUCEMIE MYELOIDE AIGUE ET SYNDROME MYELODYSPLASIQUE LIES A DES THERAPEUTIQUES|
Leucémie myéloïde aiguë secondaire à une thérapie, SAI|M-9920/3|99203|G|H7K6|LEUCEMIE MYELOIDE AIGUE ET SYNDROME MYELODYSPLASIQUE LIES A DES THERAPEUTIQUES : AGENT ALKYLANT|
Leucémie myéloïde aiguë secondaire à une thérapie, SAI|M-9920/3|99203|G|H7K7|LEUCEMIE MYELOIDE AIGUE ET SYNDROME MYELODYSPLASIQUE LIES A DES THERAPEUTIQUES : EPIPODOPHYLOTOXINE|
Leucémie myéloïde aiguë secondaire à une thérapie, SAI|M-9920/3|99203|G|H7K8|LEUCEMIE MYELOIDE AIGUE ET SYNDROME MYELODYSPLASIQUE LIES A DES THERAPEUTIQUES : AUTRES TYPES|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603||H7L0|MALADIES MYELOPROLIFERATIVES (SAI)|
Leucémie myéloïde, SAI|M-9860/3|98603||H7L1|Ne plus utiliser - LEUCEMIE MYELOMONOCYTAIRE SUBAIGUE (CF H7C2)|
Leucémie chronique myélomonocytaire, SAI|M-9945/3|99453||H7L2|LEUCEMIE MYELOMONOCYTAIRE CHRONIQUE|
Leucémie myéloïde chronique atypique, ABL-BCR négatif|M-9876/3|98763||H7L3|LEUCEMIE MYELOIDE CHRONIQUE ATYPIQUE|
Leucémie myéloïde, SAI|M-9860/3|98603|G|H7L4|Ne plus utiliser - LEUCEMIE MYELOIDE SUBAIGUE|
Leucémie myélogène chronique, ABL-BCR positif|M-9875/3|98753||H7L5|LEUCEMIE MYELOIDE CHRONIQUE, CHROMOSOME PHILADELPHIE (PH1) [t(9;22),(q34;q11), BCR/ABL]+|
Leucémie myélomonocytaire juvénile|M-9946/3|99463||H7L6|LEUCEMIE MYELO-MONOCYTAIRE JUVENILE|
Leucémie chronique à polynucléaires neutrophiles|M-9963/3|99633||H7L7|LEUCEMIE CHRONIQUE A POLYNUCLEAIRES NEUTROPHILES|
Syndrome hyperéosinophilique|M-9964/3|99643||H7L8|LEUCEMIE CHRONIQUE A POLYNUCLEAIRES EOSINOPHILES - SYNDROME HYPEREOSINOPHILIQUE|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603|G|H7L9|MALADIE MYELOPROLIFERATIVE INCLASSABLE - MYELODYSPLASIE INCLASSABLE|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603||H7M0|Ne plus utiliser - SYNDROME MYELOPROLIFERATIF CHRONIQUE (SAI) (CF H7L0)|
Myélosclérose avec métaplasie myéloïde|M-9961/3|99613||H7M1|MYELOFIBROSE IDIOPATHIQUE CHRONIQUE|
Myélosclérose avec métaplasie myéloïde|M-9961/3|99613|G|H7M2|Ne plus utiliser - MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE I - MYELOFIBROSE DEBUTANTE (CF H7M1)|
Myélosclérose avec métaplasie myéloïde|M-9961/3|99613|G|H7M3|Ne plus utiliser - MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE II - MYELOFIBROSE AVANCEE (CF H7M1)|
Myélosclérose avec métaplasie myéloïde|M-9961/3|99613|G|H7M4|Ne plus utiliser - MYELOFIBROSE IDIOPATHIQUE AVEC SPLENOMEGALIE STADE III - OSTEOMYELOSCLEROSE (CF H7M1)|
Polycythémie vraie|M-9950/3|99503||H7N2|POLYGLOBULIE PRIMITIVE - POLYGLOBULIE DE VAQUEZ|
Thrombocythémie essentielle|M-9962/3|99623||H7N4|THROMBOCYTEMIE ESSENTIELLE|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603||H7N6|SYNDROME MYELOPROLIFERATIF TRAITE|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603|G|H7N8|MALADIE MYELOPROLIFERATIVE CHRONIQUE INCLASSABLE|
Maladie myéloproliférative chronique, SAI|M-9960/3|99603|G|H7N9|NEOPLASIE MYELOIDE INCLASSABLE|supprimé en V5 ?
Histiocytose à cellules de Langerhans, disséminée|M-9754/3|97543|G|H7R0|HISTIOCYTOSE X MALIGNE - LETTERER-SIWE  MALADIE DE|
Histiocytose maligne|M-9750/3|97503||H7T0|HISTIOCYTOSE MALIGNE - LYMPHOME HISTIOCYTAIRE (SAI)|
Sarcome histiocytaire|M-9755/3|97553||H7T1|SARCOME HISTIOCYTAIRE|
Histiocytose maligne|M-9750/3|97503|G|H7T2|Ne plus utiliser - HISTIOCYTOSE MALIGNE DE SCOTT ET ROBB-SMITH|
Sarcome à cellules dendritiques interdigitées|M-9757/3|97573||H7T4|SARCOME A CELLULES INTERDIGITEES|
Sarcome à cellules de Langerhans|M-9756/3|97563||H7T5|SARCOME A CELLULES DE LANGERHANS|
Sarcome folliculaire à cellules dendritiques|M-9758/3|97583||H7T6|TUMEUR A CELLULES FOLLICULAIRES DENDRITIQUES - SARCOME A CELLULES FOLLICULAIRES DENDRITIQUES|
Sarcome folliculaire à cellules dendritiques|M-9758/3|97583|G|H7T7|SARCOME A CELLULES DENDRITIQUES (SAI)|
Histiocytose maligne|M-9750/3|97503|G|H7T9|NEOPLASIE HISTIOCYTAIRE INCLASSABLE|
Mastocytose maligne|M-9741/3|97413|G|H7V0|MASTOCYTOSE SYTEMIQUE (SAI)|
Mastocytose maligne|M-9741/3|97413|G|H7V1|MASTOCYTOSE SYSTEMIQUE INDOLENTE|
Mastocytose maligne|M-9741/3|97413|G|H7V2|MASTOCYTOSE SYSTEMIQUE ASSOCIEE A DES DESORDRES HEMATOLOGIQUES|
Mastocytose maligne|M-9741/3|97413||H7V3|MASTOCYTOSE SYSTEMIQUE AGRESSIVE|
Sarcome à mastocytes|M-9740/3|97403||H7V4|SARCOME A MASTOCYTES|
Leucémie à mastocytes (C42.1)|M-9742/3|97423||H7V5|LEUCEMIE A MASTOCYTES|
Myélome multiple (C42.1)|M-9732/3|97323||H7W0|Ne plus utiliser - MYELOME PLASMOCYTAIRE (SAI) (CF J7D2)|
Plasmocytome, SAI|M-9731/3|97313||H7W1|Ne plus utiliser - PLASMOCYTOME SOLITAIRE CF J7D8|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W2|Ne plus utiliser - MYELOME A IGG|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W3|Ne plus utiliser - MYELOME A IGA|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W4|Ne plus utiliser - MYELOME A IGM|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W5|Ne plus utiliser - MYELOME A IGD|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W6|Ne plus utiliser - MYELOME A IGE|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W7|Ne plus utiliser - MYELOME NON EXCRETANT|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W8|Ne plus utiliser - MYELOME NON SECRETANT CF J7D7|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7W9|Ne plus utiliser - MYELOMATOSE DIFFUSE|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7X1|Ne plus utiliser - MYELOME A CHAINE LEGERE KAPPA|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7X2|Ne plus utiliser - MYELOME A CHAINE LEGERE LAMBDA|
Myélome multiple (C42.1)|M-9732/3|97323|G|H7X9|Ne plus utiliser - MYELOME TRAITE|
Leucémie à plasmocytes (C42.1)|M-9733/3|97333||H7Z0|Ne plus utiliser - LEUCEMIE A PLASMOCYTES (CF J7D6)|
||||H7Z9|NEOPLASIE HEMATOLOGIQUE INCLASSABLE|
Lymphome malin à petits lymphocytes B, SAI (voir aussi M-9823/3)|M-9670/3|96703||J7A0|Ne plus utiliser - LYMPHOME MALIN DE TYPE B DE FAIBLE MALIGNITE (SAI) (CF J7Z1)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|J7A1|NEOPLASIE A CELLULES B - LYMPHOME B (SI INCLASSABLE, DOUBLE CODAGE AVEC J7Z3, J7Z4 OU J7Z5)|
Lymphome malin à petits lymphocytes B, SAI (voir aussi M-9823/3)|M-9670/3|96703||J7B0|LEUCEMIE LYMPHOIDE CHRONIQUE B - LYMPHOME B A PETITS LYMPHOCYTES|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713||J7B1|LEUCEMIE LYMPHOIDE CHRONIQUE B AVEC DIFFERENCIATION LYMPHOPLASMOCYTOIDE|
Leucémie prolymphocytaire à cellules B|M-9833/3|98333||J7B2|LYMPHOME PROLYMPHOCYTIQUE B|
Maladie des chaînes lourdes, SAI|M-9762/3|97623|G|J7B3|MALADIE DES CHAINES LOURDES MU|
Leucémie à tricholeucocytes (C42.1)|M-9940/3|99403||J7B4|LEUCEMIE A TRICHOLEUCOCYTES|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713||J7C0|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE (SAI)|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7C1|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE DE TYPE MALT|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713||J7C2|LYMPHOME B LYMPHOPLASMOCYTIQUE|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7C3|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTIQUE DE TYPE MALT - (CF J7M0)|
Macroglobulinémie de Waldenström (C42.0) (voir aussi M-9671/3)|M-9761/3|97613||J7C4|LYMPHOME B LYMPHOPLASMOCYTIQUE - MALADIE DE WALDENSTROM|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7C5|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTOIDE DE TYPE MALT|
Maladie des chaînes lourdes, SAI|M-9762/3|97623|G|J7C6|MALADIE DES CHAINES LOURDES GAMMA|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713||J7C7|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE|
Lymphome malin lymphoplasmocytoïde (voir aussi M-9761/3)|M-9671/3|96713|G|J7C8|Ne plus utiliser - LYMPHOME MALIN LYMPHOPLASMOCYTAIRE POLYMORPHE DE TYPE MALT|
Plasmocytome extramédullaire (ne survenant pas dans l’os)|M-9734/3|97343||J7D0|PLASMOCYTOME EXTRA-OSSEUX|
Plasmocytome, SAI|M-9731/3|97313||J7D1|NEOPLASIE A CELLULES PLASMOCYTAIRES (NCA)|
Myélome multiple (C42.1)|M-9732/3|97323||J7D2|MYELOME PLASMOCYTAIRE|
Myélome multiple (C42.1)|M-9732/3|97323|G|J7D3|MYELOME INDOLENT|
Myélome multiple (C42.1)|M-9732/3|97323|G|J7D4|MYELOME SMOLDERING|
Myélome multiple (C42.1)|M-9732/3|97323|G|J7D5|MYELOME OSTEOSLEROSANT (AVEC OU SANS SYNDROME DE POEMS, SI OUI, DOUBLE CODAGE AVEC 9448)|
Leucémie à plasmocytes (C42.1)|M-9733/3|97333||J7D6|LEUCEMIE A PLASMOCYTES|
Myélome multiple (C42.1)|M-9732/3|97323|G|J7D7|MYELOME NON SECRETANT|
Plasmocytome, SAI|M-9731/3|97313|G|J7D8|PLASMOCYTOME SOLITAIRE (SAI)|
Plasmocytome, SAI|M-9731/3|97313|G|J7D9|PLASMOCYTOME SOLITAIRE DES OS|
Lymphome à cellules du manteau|M-9673/3|96733|G|J7E0|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE (SAI) (CF J7E1)|
Lymphome à cellules du manteau|M-9673/3|96733||J7E1|LYMPHOME B DES CELLULES DU MANTEAU|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7E2|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE DE TYPE MALT (CF J7M0)|
Lymphome à cellules du manteau|M-9673/3|96733|G|J7E4|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE A PETITES CELLULES (CF J7E1)|
Lymphome à cellules du manteau|M-9673/3|96733|G|J7E6|Ne plus utiliser - LYMPHOME MALIN CENTROCYTIQUE A GRANDES CELLULES|
Lymphome à cellules du manteau|M-9673/3|96733|G|J7E8|LYMPHOME B DES CELLULES DU MANTEAU : VARIANTE BLASTIQUE|
Lymphome à cellules du manteau|M-9675/3|96753|G|J7F0|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE (SAI) (CF J7F4)|
Lymphome à cellules du manteau|M-9675/3|96753|G|J7F2|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTIQUE AVEC FIBROSE|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||J7F4|LYMPHOME B FOLLICULAIRE|
Lymphome folliculaire, grade 1|M-9695/3|96953||J7F4 1|LYMPHOME B FOLLICULAIRE : GRADE 1 (0.5 CENTROBLASTES / HPF)|
Lymphome folliculaire, grade 2|M-9691/3|96913||J7F4 2|LYMPHOME B FOLLICULAIRE : GRADE 2 (6-15 CENTROBLASTES / HPF)|
Lymphome folliculaire, grade 3|M-9698/3|96983||J7F4 3|LYMPHOME B FOLLICULAIRE : GRADE 3 (> 15 CENTROBLASTES / HPF)|
Lymphome folliculaire, grade 3|M-9698/3|96983|G|J7F4A3|LYMPHOME B FOLLICULAIRE : GRADE 3a (PERSISTANCE DE CENTROCYTES)|
Lymphome folliculaire, grade 3|M-9698/3|96983|G|J7F4B3|LYMPHOME B FOLLICULAIRE : GRADE 3b (PLAGES DE CENTROBLASTES)|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903||J7F5|LYMPHOME B FOLLICULAIRE ET DIFFUS|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903|G|J7F6|LYMPHOME B CENTROFOLLICULAIRE DIFFUS|
Lymphome folliculaire, SAI (voir aussi M-9675/3)|M-9690/3|96903|G|J7F7|LYMPHOME B CENTROFOLLICULAIRE CUTANE|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||J7G0|Ne plus utiliser - LYMPHOME MALIN DE TYPE B DE GRANDE MALIGNITE (CF J7Z2)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||J7G1|LYMPHOME B DIFFUS A GRANDES CELLULES (SAI)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7G2|LYMPHOME B A GRANDES CELLULES ASSOCIE A UN LYMPHOME B A PETITES CELLULES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7G4|Ne plus utiliser - LYMPHOME MALIN B DE GRANDE MALIGNITE SECONDAIRE A LM FAIBLE MALIGNITE DE TYPE MALT (CF J7G2)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7G6|Ne plus utiliser - RICHTER  SYNDROME DE (CF J7G2 - J7B0)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H0|LYMPHOME MALIN CENTROBLASTIQUE|
Lymphome folliculaire, grade 3|M-9698/3|96983|G|J7H1|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE (CF J7F4B3)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H2|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE FOLLICULAIRE ET DIFFUS|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H3|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE DIFFUS (CF J7H0)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H4|LYMPHOME B CENTROBLASTIQUE MONOMORPHE|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H6|LYMPHOME B CENTROBLASTIQUE POLYMORPHE|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H7|LYMPHOME B CENTROBLASTIQUE A NOYAUX MULTILOBES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7H8|Ne plus utiliser - LYMPHOME MALIN CENTROBLASTIQUE CENTROCYTOIDE|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843||J7J0|LYMPHOME IMMUNOBLASTIQUE B|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843|G|J7J1|LYMPHOME IMMUNOBLASTIQUE B AVEC DIFFERENCIATION PLASMOCYTAIRE|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803||J7J2|LYMPHOME A GRANDES CELLULES B INTRAVASCULAIRE|
Lymphome malin immunoblastique diffus à grandes cellules B, SAI|M-9684/3|96843|G|J7J3|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE B RICHE EN LYMPHOCYTES|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7J4|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES ANAPLASIQUES (SAI) (CF J7V1)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7J5|LYMPHOME B A GRANDES CELLULES ANAPLASIQUES|
Lymphome anaplasique à grandes cellules, à cellules T et cellules nulles|M-9714/3|97143||J7J6|Ne plus utiliser - LYMPHOME MALIN A GRANDES CELLULES ANAPLASIQUES NUL (CF J7V1)|
Lymphome malin à épanchement primaire|M-9678/3|96783||J7J7|LYMPHOME B DES SEREUSES (DOUBLE CODAGE: SI SIDA 9090; SI PYOTHORAX RS7160|
Lésion immunoproliférative angiocentrique|M-9766/1|97661||J7J8|LYMPHOME B DE TYPE GRANULOMATOSE LYMPHOMATOIDE (DOUBLE CODAGE AVEC 9523)|
Lymphome médiastinal à grandes cellules B (C38.3)|M-9679/3|96793||J7J9|LYMPHOME B DU MEDIASTIN|
Lymphome lymphoblastique à cellules précurseurs B (voir aussi M-9836/3)|M-9728/3|97283||J7K0|LYMPHOME LYMPHOBLASTIQUE B - LEUCEMIE LYMPHOBLASTIQUE B|
Lymphome lymphoblastique à cellules précurseurs B (voir aussi M-9836/3)|M-9728/3|97283||J7K1|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE PRE B (CF J7K0)|
Lymphome lymphoblastique à cellules précurseurs B (voir aussi M-9836/3)|M-9728/3|97283||J7K2|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE PRE PRE B|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||J7K3|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE A NOYAU CONVOLUTE|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873|G|J7K4|LYMPHOME DE BURKITT - LEUCEMIE A CELLULES DE BURKITT|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873||J7K5|LYMPHOME DE BURKITT CLASSIQUE|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873|G|J7K6|LYMPHOME DE BURKITT ATYPIQUE - DE TYPE BURKITT|
Lymphome de Burkitt, SAI (voir aussi M-9826/3)|M-9687/3|96873|G|J7K7|LYMPHOME DE BURKITT AVEC DIFFERENCIATION PLASMOCYTAIRE|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|J7L0|Ne plus utiliser - LYMPHOME MALIN B RARE|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7L1|Ne plus utiliser - LYMPHOME MALIN B DES LYMPHOCYTES SINUSAUX - LYMPHOME MALIN B MONOCYTOIDE (CF J7M0 - J7M2 - J7M4)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7L2|LYMPHOME DIFFUS A GRANDES CELLULES B AVEC EXPRESSION D'ALK1|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7L3|LYMPHOME B A CELLULES EN BAGUE A CHATON|
Leucémie lymphoïde chronique à cellules B/lymphome à petits lymphocytes (voir aussi M-9670/3)|M-9823/3|98233||J7L5|LYMPHOME B (LLC) A INCLUSIONS CRISTALLINES|
Lymphome à cellules du manteau|M-9673/3|96733||J7L7|Ne plus utiliser - LYMPHOME MALIN B DU MANTEAU NODULAIRE (CF J7B1)|
Lymphome à cellules du manteau|M-9673/3|96733|G|J7L9|Ne plus utiliser - LYMPHOME MALIN B DU MANTEAU DIFFUS (CF J7E1)|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7M0|LYMPHOME B DE LA ZONE MARGINALE EXTRAGANGLIONNAIRE DU MALT|
Maladie des chaînes lourdes, SAI|M-9762/3|97623||J7M1|MALADIE DES CHAINES LOURDES ALPHA|
Lymphome de la zone marginale à cellules B, SAI|M-9699/3|96993||J7M2|LYMPHOME DE LA ZONE MARGINALE GANGLIONNAIRE (+/- CELLULES B MONOCYTOIDES)|
Lymphome malin non-hodgkinien, SAI|M-9591/3|95913|G|J7M3|Ne plus utiliser - LYMPHOME MALIN A CELLULES ANEMONES (CF J7E1)|
Lymphome à cellules B de la zone marginale splénique (C42.2)|M-9689/3|96893||J7M4|LYMPHOME DE LA ZONE MARGINALE SPLENIQUE (+/- LYMPHOCYTES VILLEUX)|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7M5|Ne plus utiliser - LYMPHOME MALIN B PSEUDO T|
Lymphome malin diffus à grandes cellules B, SAI|M-9680/3|96803|G|J7M7|LYMPHOME B RICHE EN LYMPHOCYTES T OU EN HISTIOCYTES|
Lymphome à cellules T matures, SAI|M-9702/3|97023||J7N0|Ne plus utiliser - LYMPHOME MALIN T DE FAIBLE MALIGNITE (SAI)|
Leucémie prolymphocytaire à cellules T|M-9834/3|98343||J7N1|LEUCEMIE PROLYMPHOCYTIQUE T|
Leucémie prolymphocytaire à cellules T|M-9834/3|98343|G|J7N2|LEUCEMIE PROLYMPHOCYTIQUE T: VARIANTE A PETITES CELLULES|
Leucémie lymphoïde à grandes cellules T granuleuses|M-9831/1|98311||J7N3|LEUCEMIE A GRAINS AZUROPHILES T / NK|
||||J7N4|LEUCEMIE PROLYMPHOCYTIQUE T: VARIANTE A CELLULES CEREBRIFORMES|
Leucémie prolymphocytaire à cellules T|M-9834/3|98343||J7N5|LEUCOSE PROLYMPHOCYTAIRE T (CF J7N1 - J7N2)|
Leucémie agressive à cellules NK|M-9948/3|99483||J7N6|LEUCEMIE AGRESSIVE A CELLULES NK|
Mycosis fongoïde (C44.-)|M-9700/3|97003||J7N7|MYCOSIS FONGOIDE|
Mycosis fongoïde (C44.-)|M-9700/3|97003|G|J7N8|MYCOSIS FONGOIDE TRAITE|
Maladie de Sézary|M-9701/3|97013||J7N9|SEZARY  SYNDROME DE|
Lymphome à cellules T matures, SAI|M-9702/3|97023||J7P0|LYMPHOME T PERIPHERIQUE (SAI)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|J7P1|LYMPHOME T LYMPHO-EPITHELIOIDE- LYMPHOME DE LENNERT|
Lymphome angioimmunoblastique à cellules T|M-9705/3|97053||J7P3|LYMPHOME T ANGIOIMMUNOBLASTIQUE|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|J7P5|LYMPHOME DES ZONES T|
Lymphome à cellules T matures, SAI|M-9702/3|97023||J7P7|Ne plus utiliser - LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE PETITES CELLULES (CF J7P0)|
Leucémie/lymphome à cellules T, type adulte (HTLV-1 positif) incluant toutes les variétés|M-9827/3|98273||J7P8|LEUCEMIE OU LYMPHOME T DE L'ADULTE (HTLV 1 +)|
Leucémie/lymphome à cellules T, type adulte (HTLV-1 positif) incluant toutes les variétés|M-9827/3|98273|G|J7P9|LEUCEMIE OU LYMPHOME T DE L'ADULTE (HTLV 1 +) VARIANTE LYMPHOMATEUSE|
Lymphome lymphoblastique à cellules précurseurs T (voir aussi M-9837/3)|M-9729/3|97293||J7R0|Ne plus utiliser - LYMPHOME MALIN T DE GRANDE MALIGNITE (SAI)|
Lymphome lymphoblastique à cellules précurseurs T (voir aussi M-9837/3)|M-9729/3|97293|G|J7R1|Ne plus utiliser - LYMPHOME MALIN T DE GRANDE MALIGNITE SUR LM DE FAIBLE MALIGNITE|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|J7R3|Ne plus utiliser - LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE CELLULES MOYENNES (CF J7P0)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|J7R5|Ne plus utiliser - LYMPHOME MALIN T PLEOMORPHE A PREDOMINANCE DE GRANDES CELLULES (CF J7P0)|
Lymphome lymphoblastique à cellules précurseurs T (voir aussi M-9837/3)|M-9729/3|97293|G|J7R7|Ne plus utiliser - LYMPHOME MALIN IMMUNOBLASTIQUE T (CF J7P0)|
Lymphome anaplasique à grandes cellules, à cellules T et cellules nulles|M-9714/3|97143||J7S1|Ne plus utiliser - LYMPHOME MALIN T A GRANDES CELLULES ANAPLASIQUES (CF J7V1)|
Lymphome lymphoblastique à cellules précurseurs T (voir aussi M-9837/3)|M-9729/3|97293|G|J7S3|LYMPHOME LYMPHOBLASTIQUE T - LEUCEMIE LYMPHOBLASTIQUE T (SAI)|
Lymphome lymphoblastique à cellules précurseurs, SAI (voir aussi M-9835/3)|M-9727/3|97273||J7S5|Ne plus utiliser - LYMPHOME MALIN LYMPHOBLASTIQUE T A NOYAU CONVOLUTE (CF J7S3)|
Lymphome à cellules T matures, SAI|M-9702/3|97023|G|J7T0|Ne plus utiliser - LYMPHOME MALIN T RARE (SAI)|
